macket_id,macket_size,fk_macket_to_formatType,macket_height,macket_width,macket_specific,macket_DATE,macketVARCHAR
1,15.1,2,902.9,3827.6,N_HYNYSL]GNRDDL[ZUZ[NQCYTHBI\Y[WNQ,6/27/2002,E_^FOBKS][\BPB
2,5.7,4,823.5,3867.5,JF^DCOGYWOPUXAKFAGUEJ^BO_KTBTRUVE],9/20/2017,ON[F_UHLQCDMAD
3,9.6,2,960.4,1152.9,FATQPPPYMKJRCZ_WMTDHZX^ZDKACZCCHCX,11/11/2009,QDCG\PSTAXXNRB
4,4.1,1,1048.8,2170.6,SB[RFGBMWUMNBGTIR[UJJ\JHQFTJJBBTNZ,11/6/2016,ECHW_XOQQTNSI\
5,7.1,1,712.7,3482.8,J]WZPIUEIP]^ZMIDNSVCRJPREVUJ]ZH]\M,2/20/2009,]I_PGXQIUM^LOC
6,16.7,3,1433.5,948.7,MWPCJN\ZGXWAV_IEY[Q\DXHRFZBIYEGDFH,5/18/2003,O[SSHZL[H[QN]M
7,5.2,4,1082.5,2122.4,JHRNAY_B_ZH[KQD\NFNEDDDK[^WBYOICTM,7/26/2003,X^[FYRPFWJUBM\
8,45.7,2,655.6,2414.8,\CSB]ORJ[LFO^VLT\YLSTUM_VIBKMUSNZH,9/28/2007,Z^SQBEAGPQ]U[Z
9,4.3,4,833.9,1550.4,SEAN^QSC^NWBIRGKC\BBYPTHSVRGJPF^MW,7/22/2002,IVVHJU\DEIHUQC
10,12.5,4,1642.6,1754.4,LIYFOJR[[KX[LMTW[LG^^U[RDFE]BLPOIL,12/3/2007,]UMRSSZL[BNQVS
11,2.8,4,1650.3,1639.3,C^BGB]VXGEZJEWESZR[D^^_ZWFANYYH[_E,2/12/2005,DJZP_BZNXK\SJZ
12,46.4,5,392.3,906.3,[S[^TUQBFXJS_XC[DDYFI[YHKTWDUZNASW,11/3/2018,SOGCNLPAZ^NTOF
13,49.5,5,1655.3,1265.6,]FSJMVEVZA[VEINUPG^A_AWYFARS[W]XDR,2/7/2015,XZS\^PEHREW^\Q
14,41.4,1,1846.5,2041.6,LCTXWECBZKNFNGOXFJXYO[BSUDFVDGHH]D,1/25/2010,VAANDQX_[[LK[T
15,6.7,5,1170.2,1106.2,^LS_AMQG^T_JEADQ_VXVDRPPRR[B^EESLY,11/10/2007,J^Y__HKEMBFHOM
16,46.1,4,886.7,1833.5,T\SGDDLAPAZEBUOHCQA\]CR[^EVGJ\FSZ^,6/3/2013,IXVJ[BIBM][UJL
17,6.6,5,1366.9,2360.7,OWHXHK[GDE^AVYYQ_S_ACZU_CPZ^\NDNV[,4/6/2019,NW_[KT\GPBS]EZ
18,33.1,1,852.5,3919.7,PDK\UZJJSFLRYT_^VQRLUJIBEGBRMSLTMP,10/17/2020,D_^^IIYPB]^OAF
19,5.8,3,660.5,1815.8,CXWZIWNTOD\NUYUIVFZMPY_CLVYYLRRVJP,3/18/2017,MVYNKER\BWJCON
20,40.8,3,543.9,1196.6,LHFQVEEEITQ[]CUUQMM\^KE[EJSFVHAS]V,7/22/2002,XDDXT\Y_^]]YKM
21,34.1,2,1783.4,1722.9,ZJFEJVQ^I[IZQGY[PVWVIW]XQUHUAXKRJT,1/15/2014,RGOJIYHDZFKCF^
22,36.9,1,409.8,2594.8,QFLRNUVO_SQRYWUIIFCXILAWSWFR]SBLFZ,12/19/2011,RL]VYSAWLGLRAP
23,37.5,1,1554.3,2253.5,YEHVCNQLBQHETQAYI^_TLQQ\O]HL[MRPHC,12/11/2020,[JZ\GI[RMLDJFM
24,23.9,3,688.3,2465.5,W]LXLVKPC]]_BG_OIQSFWCV_J^EZY_I^KX,4/25/2013,^IUJHZE_RH]MLZ
25,12.8,3,602.2,817.9,ZCXXKWWDFHOZWXY^\FYJXHYVYVHTWHQ_GS,9/20/2018,XGAIOTHXN]DUPG
26,11.1,2,485.2,1446.2,B]ATYFJDNCPAW^ZGBBJTGAC]SSVCWCSCNM,7/19/2007,BK]]BNNHS\GODF
27,24.2,1,1443.4,558.9,]KCOPMYIP[UYSEE_RNIJE]KOCDRYBBNWEU,9/7/2006,TN^^BBBIO_LO^I
28,44.7,5,1045.5,1376.2,S]Q\E^GZ_PXGRBL\[WO_\[EKJY\\VU]FEI,7/17/2011,R[K\TGYP\M\AUR
29,31.1,4,1463.3,2363.3,LHFKGO^GVGAQD]RQF]Q_VWO\[AMJJBANP\,1/20/2014,DEJW]HBVQY^QJ\
30,26.3,2,980.8,3966.4,NNRYNKLC\LOWWQQMIGHS[GGDXPD[^DAESJ,8/12/2006,PMFADEDWRGVBF\
31,13.1,4,764.8,760.3,FGLWHYA[LVR\QYGY\^FLYMKVYCBV_]IX^N,4/22/2007,EPM]SREHO^A^WZ
32,44.9,2,370.3,1434.7,TTBFBKBRILMURCQ]^SRAMAD]IOZQATWIO],3/4/2004,]HW]V[LBOMNY_A
